"merge_col","threshability","floret_score_mean","rachis_breaks_mean"
"WGN15C59_STP_2017_1",96,1,1
"WGN15C60_STP_2017_1",99,0,1
"WGN15C61_STP_2017_1",65,0,1
"WGN15C62_STP_2017_1",90,0,1
"WGN15C63_STP_2017_1",99,2,1
"WGN15C64_STP_2017_1",99,0,2
"WGN15C65_STP_2017_1",85,0,1
"WGN15D01_STP_2017_1",70,0,1
"WGN15D02_STP_2017_1",100,0,1
"WGN15D03_STP_2017_1",90,0,1
"WGN15D04_STP_2017_1",97,1,2
"WGN15D05_STP_2017_1",65,1,1
"WGN15D06_STP_2017_1",80,1,1
"WGN15D07_STP_2017_1",97,1,1
"WGN15D08_STP_2017_1",99,0,2
"WGN15D09_STP_2017_1",75,1,1
"WGN15D10_STP_2017_1",96,0,1
"WGN15D11_STP_2017_1",15,0,1
"WGN15D12_STP_2017_1",80,0,0
"WGN15D13_STP_2017_1",96,0,1
"WGN15D14_STP_2017_1",55,1,1
"WGN15D15_STP_2017_1",100,0,1
"WGN15D16_STP_2017_1",90,1,1
"WGN15D17_STP_2017_1",80,0,0
"WGN15D18_STP_2017_1",75,1,0
"WGN15D19_STP_2017_1",99,NA,0
"WGN15D20_STP_2017_1",97,3,1
"WGN15D21_STP_2017_1",97,0,0
"WGN15D22_STP_2017_1",99,1,1
"WGN15D23_STP_2017_1",99,0,1
"WGN15D24_STP_2017_1",80,0,0
"WGN15D25_STP_2017_1",99,0,1
"WGN15D26_STP_2017_1",94,0,1
"WGN15D27_STP_2017_1",55,0,0
"WGN15D28_STP_2017_1",94,1,1
"WGN15D29_STP_2017_1",100,0,0
"WGN15D30_STP_2017_1",95,1,0
"WGN15D31_STP_2017_1",80,1,1
"WGN15D32_STP_2017_1",94,0,1
"WGN15D33_STP_2017_1",75,0,1
"WGN15D34_STP_2017_1",NA,NA,NA
"WGN15D35_STP_2017_1",92,0,1
"WGN15D36_STP_2017_1",45,0,0
"WGN15D37_STP_2017_1",90,0,1
"WGN15D38_STP_2017_1",96,0,1
"WGN15D39_STP_2017_1",98,0,1
"WGN15D40_STP_2017_1",99,1,0
"WGN15D41_STP_2017_1",65,0,2
"WGN15D42_STP_2017_1",98,1,1
"WGN15D43_STP_2017_1",95,0,1
"WGN15D44_STP_2017_1",92,0,1
"WGN15D45_STP_2017_1",50,4,1
"WGN15D46_STP_2017_1",80,1,1
"WGN15D47_STP_2017_1",97,0,1
"WGN15D48_STP_2017_1",90,1,0
"WGN15D49_STP_2017_1",85,0,0
"WGN15D50_STP_2017_1",80,0,0
"WGN15D51_STP_2017_1",90,2,1
"WGN15D52_STP_2017_1",100,0,1
"WGN15D53_STP_2017_1",98,0,0
"WGN15D54_STP_2017_1",80,4,2
"WGN15D55_STP_2017_1",99,0,1
"WGN15D56_STP_2017_1",96,1,1
"WGN15D57_STP_2017_1",30,0,0
"WGN15D58_STP_2017_1",95,3,1
"WGN15D59_STP_2017_1",85,1,0
"WGN15D60_STP_2017_1",90,4,1
"WGN15D61_STP_2017_1",95,0,1
"WGN15D62_STP_2017_1",80,0,1
"WGN15D63_STP_2017_1",65,0,1
"WGN15D64_STP_2017_1",60,1,1
"WGN15D65_STP_2017_1",80,0,1
"WGN26C01_STP_2017_1",NA,NA,NA
"WGN26C02_STP_2017_1",90,1,1
"WGN26C03_STP_2017_1",65,0,0
"WGN26C04_STP_2017_1",85,3,1
"WGN26C05_STP_2017_1",100,1,0
"WGN26C06_STP_2017_1",90,0,1
"WGN26C07_STP_2017_1",85,2,1
"WGN26C08_STP_2017_1",100,0,1
"WGN26C09_STP_2017_1",70,2,1
"WGN26C10_STP_2017_1",NA,NA,NA
"WGN26C11_STP_2017_1",90,0,1
"WGN26C12_STP_2017_1",85,2,0
"WGN26C13_STP_2017_1",100,0,1
"WGN26C14_STP_2017_1",100,1,1
"WGN26C15_STP_2017_1",70,0,0
"WGN26C16_STP_2017_1",85,2,1
"WGN26C17_STP_2017_1",93,3,1
"WGN26C18_STP_2017_1",55,1,1
"WGN26C19_STP_2017_1",90,1,0
"WGN26C20_STP_2017_1",97,1,1
"WGN26C21_STP_2017_1",NA,NA,NA
"WGN26C22_STP_2017_1",85,2,0
"WGN26C23_STP_2017_1",85,2,1
"WGN26C24_STP_2017_1",90,1,1
"WGN26C25_STP_2017_1",75,2,2
"WGN26C26_STP_2017_1",98,0,1
"WGN26C27_STP_2017_1",92,0,1
"WGN26C28_STP_2017_1",85,1,0
"WGN26C29_STP_2017_1",94,1,1
"WGN26C31_STP_2017_1",99,1,1
"WGN26C32_STP_2017_1",80,7,1
"WGN26C33_STP_2017_1",70,2,1
"WGN26C34_STP_2017_1",97,0,1
"WGN26C35_STP_2017_1",75,1,0
"WGN26C36_STP_2017_1",90,0,1
"WGN26C37_STP_2017_1",92,1,0
"WGN26C38_STP_2017_1",55,0,0
"WGN26C39_STP_2017_1",NA,NA,NA
"WGN26C40_STP_2017_1",100,0,1
"WGN26C41_STP_2017_1",93,2,1
"WGN26C42_STP_2017_1",97,2,0
"WGN26C43_STP_2017_1",NA,NA,NA
"WGN26C44_STP_2017_1",94,1,0
"WGN26C45_STP_2017_1",100,1,1
"WGN26C46_STP_2017_1",99,3,1
"WGN26C47_STP_2017_1",95,0,1
"WGN26C48_STP_2017_1",80,1,0
"WGN26C49_STP_2017_1",70,1,1
"WGN26C50_STP_2017_1",92,2,1
"WGN26C51_STP_2017_1",99,3,0
"WGN26C52_STP_2017_1",95,1,0
"WGN26C53_STP_2017_1",80,1,0
"WGN26C54_STP_2017_1",90,0,1
"WGN26C55_STP_2017_1",80,1,1
"WGN26C56_STP_2017_1",80,4,1
"WGN26C57_STP_2017_1",90,0,0
"WGN26C58_STP_2017_1",75,2,0
"WGN26C59_STP_2017_1",NA,NA,NA
"WGN26C60_STP_2017_1",98,0,1
"WGN26C61_STP_2017_1",85,1,1
"WGN26C62_STP_2017_1",93,1,1
"WGN26C63_STP_2017_1",98,1,1
"WGN26C64_STP_2017_1",85,2,0
"WGN26C65_STP_2017_1",90,0,0
"WGN26D01_STP_2017_1",80,0,0
"WGN26D02_STP_2017_1",98,0,1
"WGN26D03_STP_2017_1",94,4,0
"WGN26D04_STP_2017_1",NA,NA,NA
"WGN26D05_STP_2017_1",95,1,0
"WGN26D06_STP_2017_1",97,0,0
"WGN26D07_STP_2017_1",98,0,0
"WGN26D08_STP_2017_1",85,4,0
"WGN26D09_STP_2017_1",75,1,1
"WGN26D10_STP_2017_1",85,1,0
"WGN26D11_STP_2017_1",85,3,1
"WGN26D12_STP_2017_1",NA,NA,NA
"WGN26D13_STP_2017_1",99,0,0
"WGN26D14_STP_2017_1",90,1,1
"WGN26D15_STP_2017_1",80,1,0
"WGN26D16_STP_2017_1",100,1,1
"WGN26D17_STP_2017_1",98,3,0
"WGN26D18_STP_2017_1",75,4,0
"WGN26D19_STP_2017_1",98,1,1
"WGN26D20_STP_2017_1",95,1,1
"WGN26D21_STP_2017_1",99,1,0
"WGN26D22_STP_2017_1",95,7,1
"WGN26D23_STP_2017_1",100,0,0
"WGN26D24_STP_2017_1",80,3,0
"WGN26D25_STP_2017_1",90,0,0
"WGN26D26_STP_2017_1",98,0,1
"WGN26D27_STP_2017_1",99,4,0
"WGN26D28_STP_2017_1",80,0,1
"WGN26D29_STP_2017_1",96,1,1
"WGN26D30_STP_2017_1",95,0,1
"WGN26D31_STP_2017_1",80,2,1
"WGN26D32_STP_2017_1",99,1,3
"WGN26D33_STP_2017_1",90,2,1
"WGN26D34_STP_2017_1",95,1,1
"WGN26D35_STP_2017_1",99,0,1
"WGN26D36_STP_2017_1",NA,NA,NA
"WGN26D37_STP_2017_1",93,1,1
"WGN26D38_STP_2017_1",92,2,1
"WGN26D39_STP_2017_1",93,3,1
"WGN26D40_STP_2017_1",95,0,0
"WGN26D41_STP_2017_1",99,0,0
"WGN26D42_STP_2017_1",95,2,0
"WGN26D43_STP_2017_1",NA,NA,NA
"WGN26D44_STP_2017_1",75,0,1
"WGN26D45_STP_2017_1",97,2,1
"WGN26D46_STP_2017_1",75,0,0
"WGN26D47_STP_2017_1",100,0,1
"WGN26D48_STP_2017_1",99,0,0
"WGN26D49_STP_2017_1",100,0,1
"WGN26D50_STP_2017_1",NA,NA,NA
"WGN26D51_STP_2017_1",98,0,1
"WGN26D52_STP_2017_1",99,1,1
"WGN26D53_STP_2017_1",70,1,1
"WGN26D54_STP_2017_1",60,3,0
"WGN26D55_STP_2017_1",90,4,1
"WGN26D56_STP_2017_1",80,2,1
"WGN26D57_STP_2017_1",NA,NA,NA
"WGN26D58_STP_2017_1",100,0,1
"WGN26D59_STP_2017_1",99,0,0
"WGN26D60_STP_2017_1",NA,NA,NA
"WGN26D61_STP_2017_1",95,1,1
"WGN26D62_STP_2017_1",NA,NA,NA
"WGN26D63_STP_2017_1",NA,NA,NA
"WGN26D64_STP_2017_1",96,1,1
"WGN26D65_STP_2017_1",98,1,0
"WGN36C01_STP_2017_1",85,2,1
"WGN36C02_STP_2017_1",75,0,1
"WGN36C03_STP_2017_1",98,2,1
"WGN36C04_STP_2017_1",100,0,1
"WGN36C05_STP_2017_1",95,6,0
"WGN36C06_STP_2017_1",94,0,2
"WGN36C07_STP_2017_1",95,1,1
"WGN36C08_STP_2017_1",98,1,1
"WGN36C09_STP_2017_1",95,1,1
"WGN36C10_STP_2017_1",98,0,1
"WGN36C11_STP_2017_1",85,0,1
"WGN36C12_STP_2017_1",96,1,1
"WGN36C13_STP_2017_1",85,1,1
"WGN36C14_STP_2017_1",97,0,1
"WGN36C15_STP_2017_1",100,0,0
"WGN36C16_STP_2017_1",85,0,1
"WGN36C17_STP_2017_1",100,0,1
"WGN36C18_STP_2017_1",90,1,1
"WGN36C19_STP_2017_1",99,0,1
"WGN36C20_STP_2017_1",99,0,1
"WGN36C21_STP_2017_1",98,1,0
"WGN36C22_STP_2017_1",99,0,1
"WGN36C23_STP_2017_1",65,9,1
"WGN36C24_STP_2017_1",94,1,0
"WGN36C25_STP_2017_1",99,1,1
"WGN36C26_STP_2017_1",99,0,1
"WGN36C27_STP_2017_1",99,0,1
"WGN36C28_STP_2017_1",99,0,1
"WGN36C29_STP_2017_1",99,1,1
"WGN36C30_STP_2017_1",65,0,1
"WGN36C31_STP_2017_1",98,0,0
"WGN36C32_STP_2017_1",90,1,1
"WGN36C33_STP_2017_1",95,0,1
"WGN36C34_STP_2017_1",NA,NA,NA
"WGN36C35_STP_2017_1",95,1,1
"WGN36C36_STP_2017_1",94,0,2
"WGN36C37_STP_2017_1",85,0,1
"WGN36C38_STP_2017_1",80,1,1
"WGN36C39_STP_2017_1",94,1,1
"WGN36C40_STP_2017_1",97,0,1
"WGN36C41_STP_2017_1",100,1,1
"WGN36C42_STP_2017_1",95,1,1
"WGN36C43_STP_2017_1",75,1,0
"WGN36C44_STP_2017_1",80,0,1
"WGN36C45_STP_2017_1",95,1,1
"WGN36C46_STP_2017_1",NA,NA,NA
"WGN36C47_STP_2017_1",85,0,2
"WGN36C48_STP_2017_1",99,0,1
"WGN36C49_STP_2017_1",97,0,1
"WGN36C50_STP_2017_1",98,0,0
"WGN36C51_STP_2017_1",NA,NA,NA
"WGN36C52_STP_2017_1",97,0,1
"WGN36C53_STP_2017_1",90,0,1
"WGN36C54_STP_2017_1",90,0,1
"WGN36C55_STP_2017_1",100,0,1
"WGN36C56_STP_2017_1",95,2,0
"WGN36C57_STP_2017_1",NA,NA,NA
"WGN36C58_STP_2017_1",NA,NA,NA
"WGN36C59_STP_2017_1",85,1,1
"WGN36C60_STP_2017_1",99,1,1
"WGN36C61_STP_2017_1",96,1,0
"WGN36C62_STP_2017_1",96,1,2
"WGN36C63_STP_2017_1",99,1,1
"WGN36C64_STP_2017_1",98,0,1
"WGN36C65_STP_2017_1",95,0,1
"WGN36D01_STP_2017_1",97,0,1
"WGN36D02_STP_2017_1",90,0,1
"WGN36D03_STP_2017_1",97,1,1
"WGN36D04_STP_2017_1",99,1,3
"WGN36D05_STP_2017_1",90,0,2
"WGN36D06_STP_2017_1",96,0,1
"WGN36D07_STP_2017_1",75,0,1
"WGN36D08_STP_2017_1",100,1,1
"WGN36D09_STP_2017_1",100,1,1
"WGN36D10_STP_2017_1",93,1,1
"WGN36D11_STP_2017_1",99,4,1
"WGN36D12_STP_2017_1",98,0,2
"WGN36D13_STP_2017_1",90,1,1
"WGN36D14_STP_2017_1",90,0,1
"WGN36D15_STP_2017_1",98,1,1
"WGN36D16_STP_2017_1",99,1,1
"WGN36D17_STP_2017_1",94,2,1
"WGN36D18_STP_2017_1",98,0,1
"WGN36D19_STP_2017_1",90,0,1
