plantID3	famID	response	SE	df	lower.CL	upper.CL
128	WGN07	87.6084148543805	3.60036941751753	1114	79.7370455044822	93.7575882200812
129	WGN07	79.9999999999988	4.37089839848109	1114	70.8025408173674	87.8236740942137
130	WGN07	87.6084148543805	3.6003694175176	1114	79.7370455044819	93.7575882200812
1	WGN15	8.97488329070088	3.12324279797761	1114	3.83295234867177	15.9954706855888
2	WGN15	37.4832969418891	5.28965862397348	1114	27.4704019602712	48.0693672574193
3	WGN15	67.7296313616638	5.10860164992376	1114	57.3767392950911	77.2706333219774
4	WGN15	96.0609040895879	2.12560387250745	1114	90.8675157542076	99.1450329850594
5	WGN15	75.169125153833	4.72091823339536	1114	65.4007528525287	83.784931827643
7	WGN15	93.3135224943261	2.72949124755572	1114	87.0072115797254	97.6363843646101
8	WGN15	83.1734976624761	4.08789872345268	1114	74.4544047939269	90.3734819837142
9	WGN15	24.8308748461854	4.72091823339652	1114	16.2150681723728	34.5992471474915
10	WGN15	42.4903902029164	5.40164812943683	1114	32.1447962010587	53.1798705367428
11	WGN15	80.0000000000124	4.37089839847999	1114	70.8025408173827	87.8236740942248
12	WGN15	47.4713166855949	5.45663138204831	1114	36.9046195382846	58.1538094139271
13	WGN15	25.0000000000109	4.73163631305713	1114	16.3594518166731	34.7853690903619
14	WGN15	72.8267561993285	4.86101482902291	1114	62.8392339844655	81.7689765047396
15	WGN15	90.0000000000032	3.27817379886013	1114	82.7012182955761	95.4670682532082
16	WGN15	92.6975711163411	2.84301116736199	1114	86.1843288963827	97.2555704525916
17	WGN15	35.0000000000075	5.21196415965204	1114	25.1952423437826	45.4916502004402
18	WGN15	42.4903902029161	5.40164812943673	1114	32.1447962010586	53.1798705367423
19	WGN15	75.1691251538311	4.72091823339539	1114	65.4007528525269	83.7849318276413
20	WGN15	82.5708022183417	4.14536399719422	1114	73.7536184088413	89.8964766143313
21	WGN15	95.0000000000065	2.38153805143134	1114	89.3325736925524	98.6067486748353
22	WGN15	16.8265023375427	4.08789872345453	1114	9.62651801630055	25.545595206095
23	WGN15	82.5708022183414	4.14536399719426	1114	73.753618408841	89.896476614331
24	WGN15	88.5889894354151	3.47426265105191	1114	80.9407106469433	94.470168948439
25	WGN15	90.0000000000041	3.27817379886004	1114	82.7012182955771	95.4670682532089
26	WGN15	82.5708022183391	4.14536399719435	1114	73.7536184088386	89.8964766143291
27	WGN15	75.0000000000085	4.73163631305589	1114	65.2146309096595	83.6405481833434
28	WGN15	39.9474829752436	5.35206079214272	1114	29.7566638357198	50.5986353810895
29	WGN15	57.5096097971043	5.40164812943642	1114	46.8201294632783	67.8552037989607
30	WGN15	87.6084148543909	3.60036941751628	1114	79.7370455044947	93.7575882200888
31	WGN15	85.3553390593352	3.86336487180325	1114	77.0234792055321	92.0681776599508
