plantID3	famID	emmean	SE	df	asymp.LCL	asymp.UCL
14	WGN46	-1.34437861338662e-14	0.612756521478066	Inf	-1.20098071338907	1.20098071338904
15	WGN46	2.00000000000002	0.612756521478071	Inf	0.799019286610962	3.20098071338909
16	WGN46	1.49999999999999	0.612756521478063	Inf	0.299019286610944	2.70098071338904
17	WGN46	0.0461956521738722	0.866764794721061	Inf	-1.65263212854666	1.74502343289441
18	WGN46	1.49999999999994	0.61275652147806	Inf	0.299019286610901	2.70098071338899
19	WGN46	-3.09660493142286e-14	0.612756521478061	Inf	-1.20098071338907	1.20098071338901
20	WGN46	0.500000000000011	0.612756521478074	Inf	-0.700980713389058	1.70098071338908
21	WGN46	0.0461956521738976	0.866764794721059	Inf	-1.65263212854663	1.74502343289443
22	WGN46	0.499999999999964	0.612756521478067	Inf	-0.700980713389091	1.70098071338902
23	WGN46	2.95380434782609	0.866764794721064	Inf	1.25497656710555	4.65263212854663
24	WGN46	4.49999999999997	0.612756521478066	Inf	3.29901928661092	5.70098071338903
25	WGN46	-1.52692650316619e-14	0.612756521478071	Inf	-1.20098071338908	1.20098071338905
26	WGN46	0.999999999999991	0.61275652147807	Inf	-0.200980713389069	2.20098071338905
27	WGN46	0.99999999999998	0.612756521478066	Inf	-0.200980713389072	2.20098071338903
28	WGN46	-3.6149991521992e-14	0.612756521478051	Inf	-1.20098071338906	1.20098071338899
29	WGN46	2.50000000000003	0.612756521478068	Inf	1.29901928661097	3.70098071338909
30	WGN46	9.1052480610413e-15	0.612756521478063	Inf	-1.20098071338904	1.20098071338906
31	WGN46	0.999999999999983	0.612756521478072	Inf	-0.200980713389082	2.20098071338905
32	WGN46	0.499999999999963	0.612756521478059	Inf	-0.700980713389078	1.700980713389
33	WGN46	3.49999999999998	0.612756521478063	Inf	2.29901928661093	4.70098071338903
34	WGN46	2.00000000000003	0.612756521478071	Inf	0.799019286610963	3.20098071338909
36	WGN46	0.499999999999978	0.612756521478061	Inf	-0.700980713389066	1.70098071338902
37	WGN46	0.499999999999979	0.612756521478068	Inf	-0.700980713389078	1.70098071338904
38	WGN46	0.499999999999992	0.612756521478065	Inf	-0.700980713389058	1.70098071338904
39	WGN46	1	0.612756521478066	Inf	-0.20098071338905	2.20098071338906
40	WGN46	0.999999999999996	0.612756521478066	Inf	-0.200980713389057	2.20098071338905
41	WGN46	0.499999999999993	0.612756521478063	Inf	-0.700980713389055	1.70098071338904
42	WGN46	0.999999999999979	0.612756521478067	Inf	-0.200980713389076	2.20098071338903
43	WGN46	-0.0461956521739429	0.866764794721059	Inf	-1.74502343289447	1.65263212854658
44	WGN46	-1.93640036066707e-14	0.612756521478068	Inf	-1.20098071338908	1.20098071338904
45	WGN46	0.499999999999985	0.612756521478067	Inf	-0.700980713389069	1.70098071338904
46	WGN46	4.49999999999992	0.61275652147806	Inf	3.29901928661087	5.70098071338896
47	WGN46	2.49999999999997	0.612756521478064	Inf	1.29901928661092	3.70098071338902
48	WGN46	0.999999999999989	0.612756521478069	Inf	-0.200980713389069	2.20098071338905
49	WGN46	-2.15343387088962e-14	0.612756521478068	Inf	-1.20098071338908	1.20098071338904
50	WGN46	-2.56288905276855e-14	0.612756521478069	Inf	-1.20098071338908	1.20098071338903
51	WGN46	2.95380434782601	0.866764794721055	Inf	1.25497656710549	4.65263212854653
52	WGN46	0.499999999999978	0.612756521478063	Inf	-0.700980713389069	1.70098071338903
53	WGN46	-1.94127918003492e-14	0.612756521478067	Inf	-1.20098071338907	1.20098071338904
54	WGN46	0.499999999999971	0.612756521478067	Inf	-0.700980713389084	1.70098071338903
55	WGN46	0.999999999999966	0.612756521478062	Inf	-0.200980713389079	2.20098071338901
56	WGN46	4.99999999999988	0.612756521478058	Inf	3.79901928661084	6.20098071338892
57	WGN46	0.499999999999981	0.612756521478066	Inf	-0.700980713389072	1.70098071338903
58	WGN46	-3.71856869653938e-15	0.612756521478068	Inf	-1.20098071338906	1.20098071338905
59	WGN46	6.00000000000004	0.612756521478067	Inf	4.79901928661099	7.2009807133891
60	WGN46	0.999999999999978	0.612756521478065	Inf	-0.200980713389073	2.20098071338903
61	WGN46	0.999999999999968	0.612756521478067	Inf	-0.200980713389087	2.20098071338902
62	WGN46	0.499999999999986	0.612756521478059	Inf	-0.700980713389053	1.70098071338903
63	WGN46	0.499999999999965	0.612756521478062	Inf	-0.70098071338908	1.70098071338901
64	WGN46	-3.69518464498801e-15	0.612756521478065	Inf	-1.20098071338906	1.20098071338905
65	WGN46	-0.0461956521739265	0.866764794721068	Inf	-1.74502343289447	1.65263212854662
66	WGN46	2.49999999999996	0.612756521478062	Inf	1.29901928661092	3.70098071338901
67	WGN46	0.499999999999978	0.612756521478063	Inf	-0.700980713389069	1.70098071338903
68	WGN46	4.49999999999996	0.612756521478063	Inf	3.29901928661091	5.700980713389
69	WGN46	0.999999999999971	0.612756521478061	Inf	-0.200980713389072	2.20098071338902
70	WGN46	1.99999999999996	0.612756521478063	Inf	0.799019286610913	3.20098071338901
71	WGN46	-8.41026793950572e-15	0.612756521478068	Inf	-1.20098071338907	1.20098071338905
72	WGN46	-2.12487884602101e-14	0.612756521478067	Inf	-1.20098071338908	1.20098071338903
73	WGN46	-6.53035763684549e-15	0.612756521478063	Inf	-1.20098071338905	1.20098071338904
74	WGN46	0.499999999999985	0.612756521478068	Inf	-0.700980713389072	1.70098071338904
75	WGN46	-1.99336108728203e-14	0.612756521478065	Inf	-1.20098071338907	1.20098071338903
76	WGN46	0.499999999999982	0.612756521478063	Inf	-0.700980713389066	1.70098071338903
78	WGN46	2.49999999999996	0.612756521478063	Inf	1.29901928661091	3.700980713389
79	WGN46	1.49999999999999	0.612756521478065	Inf	0.299019286610939	2.70098071338904
80	WGN46	1.49999999999998	0.612756521478064	Inf	0.299019286610931	2.70098071338903
81	WGN46	0.49999999999997	0.612756521478059	Inf	-0.70098071338907	1.70098071338901
82	WGN46	0.499999999999981	0.612756521478061	Inf	-0.700980713389063	1.70098071338902
83	WGN46	0.49999999999998	0.612756521478063	Inf	-0.700980713389068	1.70098071338903
84	WGN46	-1.87740083310123e-14	0.612756521478063	Inf	-1.20098071338907	1.20098071338903
85	WGN46	0.999999999999974	0.612756521478064	Inf	-0.200980713389076	2.20098071338902
86	WGN46	0.999999999999996	0.612756521478066	Inf	-0.200980713389057	2.20098071338905
87	WGN46	-1.39807159667418e-14	0.612756521478065	Inf	-1.20098071338907	1.20098071338904
88	WGN46	0.499999999999986	0.612756521478068	Inf	-0.700980713389071	1.70098071338904
89	WGN46	0.499999999999979	0.612756521478066	Inf	-0.700980713389074	1.70098071338903
90	WGN46	1.99999999999998	0.612756521478065	Inf	0.799019286610931	3.20098071338903
91	WGN46	1.0461956521739	0.866764794721069	Inf	-0.652632128546645	2.74502343289445
93	WGN46	0.999999999999968	0.612756521478063	Inf	-0.200980713389079	2.20098071338902
94	WGN46	0.499999999999981	0.612756521478062	Inf	-0.700980713389064	1.70098071338903
95	WGN46	0.499999999999981	0.612756521478064	Inf	-0.700980713389069	1.70098071338903
96	WGN46	3.49999999999996	0.612756521478062	Inf	2.29901928661091	4.700980713389
98	WGN46	0.999999999999984	0.612756521478063	Inf	-0.200980713389064	2.20098071338903
100	WGN46	1.49999999999999	0.612756521478065	Inf	0.299019286610935	2.70098071338904
101	WGN46	0.499999999999989	0.612756521478066	Inf	-0.700980713389065	1.70098071338904
102	WGN46	0.499999999999985	0.612756521478065	Inf	-0.700980713389066	1.70098071338904
103	WGN46	1.49999999999999	0.612756521478065	Inf	0.299019286610941	2.70098071338904
104	WGN46	0.499999999999987	0.612756521478065	Inf	-0.700980713389065	1.70098071338904
106	WGN46	0.999999999999985	0.612756521478066	Inf	-0.200980713389068	2.20098071338904
107	WGN46	4.99999999999995	0.612756521478063	Inf	3.79901928661091	6.200980713389
108	WGN46	1.49999999999999	0.612756521478065	Inf	0.299019286610935	2.70098071338904
109	WGN46	3.49999999999996	0.612756521478064	Inf	2.29901928661091	4.70098071338901
110	WGN46	0.499999999999988	0.612756521478066	Inf	-0.700980713389064	1.70098071338904
111	WGN46	0.499999999999984	0.612756521478066	Inf	-0.700980713389069	1.70098071338904
112	WGN46	0.499999999999985	0.612756521478064	Inf	-0.700980713389064	1.70098071338903
113	WGN46	2.99999999999999	0.612756521478065	Inf	1.79901928661094	4.20098071338905
114	WGN46	0.999999999999986	0.612756521478065	Inf	-0.200980713389065	2.20098071338904
